t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920235,8188264,56274.955649,158668.479946,1025945.541386,1400337.418525,events/second
1548920236,8188264,55745.664404,158668.479946,1025945.541386,1400337.418525,events/second
1548920238,8188264,54628.828400,158668.479946,1025945.541386,1400337.418525,events/second
1548920240,8196456,54327.158720,145982.048752,1008988.153129,1392579.336382,events/second
1548920241,8196456,54088.368219,145982.048752,1008988.153129,1392579.336382,events/second
1548920242,8196456,53875.687080,145982.048752,1008988.153129,1392579.336382,events/second
1548920242,8196456,53664.891911,145982.048752,1008988.153129,1392579.336382,events/second
1548920243,8196456,53462.148811,145982.048752,1008988.153129,1392579.336382,events/second
1548920243,8196456,53241.041143,145982.048752,1008988.153129,1392579.336382,events/second
1548920244,8196456,53086.498630,145982.048752,1008988.153129,1392579.336382,events/second
1548920245,8196456,52829.649871,134440.967822,992338.126216,1384873.312178,events/second
1548920246,8196456,52451.274435,134440.967822,992338.126216,1384873.312178,events/second
1548920247,8196456,52153.211704,134440.967822,992338.126216,1384873.312178,events/second
1548920248,8196456,51816.126811,134440.967822,992338.126216,1384873.312178,events/second
1548920249,8196456,51490.389067,134440.967822,992338.126216,1384873.312178,events/second
1548920250,8196456,51189.261711,123691.661542,975936.219673,1377200.903535,events/second
1548920251,8196456,50870.784751,123691.661542,975936.219673,1377200.903535,events/second
1548920252,8196456,50556.712766,123691.661542,975936.219673,1377200.903535,events/second
1548920253,8196456,50243.083614,123691.661542,975936.219673,1377200.903535,events/second
1548920254,8196456,49937.197415,123691.661542,975936.219673,1377200.903535,events/second
1548920255,8196456,49636.832841,113801.822338,959805.412799,1369571.001201,events/second
1548920256,8196456,49333.671830,113801.822338,959805.412799,1369571.001201,events/second
1548920257,8196456,49042.821041,113801.822338,959805.412799,1369571.001201,events/second
1548920258,8196456,48751.046704,113801.822338,959805.412799,1369571.001201,events/second
1548920259,8196456,48465.548032,113801.822338,959805.412799,1369571.001201,events/second
1548920260,8196456,48179.407140,104702.731016,943941.224711,1361983.369686,events/second
1548920261,8196456,47889.974481,104702.731016,943941.224711,1361983.369686,events/second
1548920262,8196456,47616.740445,104702.731016,943941.224711,1361983.369686,events/second
1548920263,8196456,47342.909106,104702.731016,943941.224711,1361983.369686,events/second
